"Source:","C:\Users\Zack\Documents\AGV Board\Control_board\Control_board.kicad_sch"
"Date:","7/12/2024 6:36:46 PM"
"Tool:","Eeschema (7.0.0)"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","55"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Sim.Device","Sim.Pins"
"11","1","LED1","550-1307-004F","SamacSys:550-1307-004F","5501307004F","https://s3-us-west-2.amazonaws.com/catsy.557/C17646.pdf","","","6.351","Dialight","550-1307-004F","645-550-1307-004F","https://www.mouser.co.uk/ProductDetail/Dialight/550-1307-004F?qs=0KZIkTEbAAuDZRCbhcaU%252Bg%3D%3D","",""
"12","1","LEFT-GPS1","~","Boards:SparkFun_GPS-RTK","boards:Sparkfun GPS-RTK","","","","","","","","","",""
"13","1","PS1","THL_15-2411WI","SamacSys:THL_15-2411WI","THL152411WI","https://tracopower.com/thl15wi-datasheet/","","","10.66","Traco Power","THL 15-2411WI","495-THL15-2411WI","https://www.mouser.co.uk/ProductDetail/TRACO-Power/THL-15-2411WI?qs=vLWxofP3U2zTxW0y6%2FAPOg%3D%3D","",""
"14","1","PWR_InF1","Conn_01x03_Pin","Connector:Conn_01x03_Pin","Connector_Phoenix_MC_HighVoltage:PhoenixContact_MCV_1,5_3-G-5.08_1x03_P5.08mm_Vertical","~","","","","","","","","",""
"15","2","R1, R3","750","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal","~","","","","","","","","",""
"16","1","R2","6.8K","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal","~","","","","","","","","",""
"17","1","R4","1.6K","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal","~","","","","","","","","",""
"18","4","R5, R6, R18, R20","187","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal","~","","","","","","","","",""
"19","8","R7, R8, R9, R10, R13, R14, R15, R16","10K","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal","~","","","","","","","","",""
"20","4","R11, R12, R17, R19","100","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal","~","","","","","","","","",""
"21","1","RIGHT-GPS1","~",":SparkFun_GPS-RTK_1","boards:Sparkfun GPS-RTK","","","","","","","","","",""
"22","1","U1","Teensy4.1","Teensy:Teensy4.1","Teensy:Teensy41","","","","","","","","","",""
"23","2","U2, U3","01530007Z","SamacSys:01530007Z","01530007Z","http://m.littelfuse.com/~/media/commercial-vehicle/datasheets/automotive-fuse-holders/mini/littelfuse_fuse-holders-mini-153-pc-datasheet.pdf","","","7","LITTELFUSE","01530007Z","576-01530007Z","https://www.mouser.co.uk/ProductDetail/Littelfuse/01530007Z?qs=gu7KAQ731URFnx4B9aYM4g%3D%3D","",""
